track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Pronta pra Trair,3IdXfXbXcbEe3LP9ClIZw8,2019-06-28T03:02:00Z,Pronta pra Trair,2018-10-22,177144,71,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,250052,72,"funk carioca,sertanejo pop,sertanejo universitario",0.742,0.486,8,-7.747999999999999,0,0.0612,0.445,0.0,0.282,0.738,116.208,4
Quem Me Dera,29dRTbLTxRaSl63DIzbjvl,2019-06-28T03:02:00Z,Quem Me Dera,2018-10-16,147990,75,Márcia Fellipe,3OxZ4asD88P1lJJmLcXz4K,784187,69,"forro,funk carioca,sertanejo pop",0.815,0.723,6,-3.611,0,0.0574,0.115,0.0,0.184,0.8959999999999999,149.918,4
