playlist_name,spotify_ID,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16
Pop Royalty,5iwkYfnHAGMEFLiHFFGnP4,449280,449065,448809,448548,448276,448008
House Music 2019,2otQLmbi8QWHjDfq3eL0DC,448132,451284,454697,458682,462574,471801
Hip-Hop R&B Nation,7kdOsNnHtzwncTBnI3J17w,395952,396021,396359,396523,397176,397654
Latino Caliente,1vIZxBcvgGHE9HXbQnzXYI,531305,531957,533702,536134,538525,540638
Remixes 2019 Best Popular Songs Remixed (Hits 2019),4ZB8LNvjTqxyUZPzHyYYJq,497453,501143,505039,509160,513507,518045
ElectrÃ³nica 2019 & Dance Music : La Mejor MÃºsica ElectrÃ³nica,09tdi9JkYgC7DP0XYBl4Az,382032,387494,394755,401530,408452,415383
Mega Hits,4jVvhTA6Xf56C1uBR48HVF,552782,553509,553953,554343,555815,556462
CLUB PARTY by Club Kitchen,0uxHEGXSlleLGA0NUvzMhe,394906,394573,394190,393868,393484,393053
Hip Hop Supreme feat. Eminem Dr. Dre Snoop Dogg DMX Kanye West Cypress Hill 2Pac Jay Z,5pvJLjAhcKCHXGOb7pEbBZ,324378,324125,323837,323560,323316,322973
Running Workout Goals,7wBpRbIoatquCDVcxybHEk,426929,427091,427075,426949,426925,426869
Hot 50 UK,7hshURH8dzz84ubAwlDJVX,394102,394762,395384,395687,395800,395966
Hip Hop Club Bangers,6fi0ExpvtWx0vQUelJkwmV,565760,565568,565395,565182,564935,564570
Workout Mix,12R8HZh3GHUw1c4sgPtu6x,491582,491018,490364,489655,489000,488205
Acoustic Room ,2JtkUgJumiz7K4AblbFlgK,421892,422097,422075,421900,422039,422073
Top 40 Hits,7yhMkuwajPWTpbEfc7y6oJ,459196,459698,460218,460591,460870,461216
Love Songs & Chill,4QuJ2DbcTe7R8lzqfNXz7v,454405,456246,458303,460567,463045,465599
Twerk It!,2PV3FWt2NEerKSgs3t2MpE,353782,353817,353902,353913,353849,353842
New Hits,1CsDeeffM5GVSeuvsYVOHv,428668,428899,428969,428791,428505,428335
Club Sounds,65et3F26s5x8IxkGxtSsBd,424481,424471,424453,424256,424082,424591
2019 Hits - Top 100 Global,4JkkvMpVl4lSioqQjeAL0q,452938,453401,453963,454543,455218,455881
