release_date,peak,artist,track,label
Apr 2,1,Gwen Stefani,Hollaback Girl,Interscope 004435
Apr 2,23,Destiny’s Child,Girl,Columbia 70384
Apr 2,32,Melissa Etheridge &amp; Joss Stone,Cry Baby/Piece Of My Heart,Grammy
Apr 2,47,Dierks Bentley,Lot Of Leavin’ Left To Do,Capitol
Apr 2,71,Ben Folds,Bitches Ain’t S**t,Epic
Apr 2,99,Breaking Benjamin,Sooner Or Later,Hollywood
Apr 9,19,Green Day,Holiday,Reprise Digital
Apr 9,31,Nine Inch Nails,The Hand That Feeds,Nothing 005127 &amp; 005129
Apr 9,89,Juanes,La Camisa Negra,Surco Digital
Apr 9,96,Stevie Wonder,So What The Fuss,Motown Digital
Apr 16,1,Mariah Carey,We Belong Together,Island 005162
Apr 16,7,Pretty Ricky,Grind With Me,Atlantic 93711
Apr 16,10,Weezer,Beverly Hills,Geffen Digital
Apr 16,27,System Of A Down,B.Y.O.B.,American  Album Cut
Apr 16,30,Gavin DeGraw,Chariot,J Records Album Cut
Apr 16,72,Bruce Springsteen,Devils &amp; Dust,Columbia Digital
Apr 16,81,Fat Joe,So Much More,Terror Squad 93704
Apr 16,97,U2,Sometimes You Can’t Make It On Your Own,Interscope Digital
Apr 16,100,Britney Spears,Do Somethin’,Jive
Apr 23,3,"Black Eyed Peas, The",Don’t Phunk With My Heart,A&amp;M 004799
Apr 23,6,Kelly Clarkson,Behind These Hazel Eyes,RCA Digital
Apr 23,13,"BackStreet Boys, The",Incomplete,Jive
Apr 23,34,Keith Urban,Making Memories Of Us,Capitol
Apr 23,54,George Strait,You’ll Be There,MCA Nashville
Apr 30,14,Destiny’s Child,Cater 2 U,Columbia 74672
Apr 30,41,Fantasia,Free Yourself,J
Apr 30,41,"Used, The And My Chemical Romance",Under Pressure,Reprise Digital
Apr 30,53,Anna Nalick,Breathe (2 A.M.),Columbia
Apr 30,75,Mary J. Blige Featuring The Game &amp; 50 Cent,Da MVP,Geffen Promo
Apr 30,85,Squeak E. Clean Featuring Karen O,Hello Tomorrow,Interscope Digital
Apr 30,89,Phil Vassar,I’ll Take That As A Yes (The Hot Tub Song),Arista Nashville
Apr 30,89,Mudvayne,Happy?,Epic
Apr 30,97,Lonestar,Class Reunion (That Used To Be Us),BNA
May 7,2,"Pussycat Dolls, The Featuring Busta Rhymes",Don’t Cha,A&amp;M 004709
May 7,8,Coldplay,Speed Of Sound,Capitol
May 7,22,R. Kelly,Trapped In The Closet,Jive 69126
May 7,23,Shakira Featuring Alejandro Sanz,La Tortura,Sony Discos
May 7,29,Webbie Featuring Bun B,Give Me That,Trill Digital
May 7,38,Rascal Flatts,Fast Cars And Freedom,Lyric Street Digital
May 7,39,American Idol Finalists Season 4,When You Tell Me That You Love Me,RCA 69127
May 7,43,"White Stripes, The",Blue Orchid,Third Man 27833
May 7,69,Marques Houston,All Because Of You,T.U.G./Universal 004958
May 14,16,Dave Matthews Band,American Baby,RCA
May 14,18,Foo Fighters,Best Of You,Roswell/RCA
May 21,3,Missy Elliott Featuring Ciara &amp; Fat Man Scoop,Lose Control,The Gold Mind 93787
May 21,35,Sugarland,Something More,Mercury Album Cut
May 21,43,Kanye West,Diamonds From Sierra Leone,Roc-A-Fella/Def Jam 004940
May 21,49,Simple Plan,Untitled (How Can This Happen To Me?),Lava
May 21,72,Michael Buble,Home,143
May 21,84,Kem,I Can’t Stop Loving You,Motown
May 21,91,Jesse McCartney,She’s No You,Hollywood
May 28,4,Bow Wow Featuring Omarion,Let Me Hold You,Columbia  Digital
May 28,14,Gorillaz/De La Soul,Feel Good Inc.,Parlophone
