artist,artist_id
Britney Spears,26dSoYclwsYLMAKD3tpOr4
Bruno Mars,0du5cEVh5yTK9QJze8zA0C
Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm
Atomic Kitten,6JMHws5haIO6V35YNYDnDw
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX
Gareth Gates,4nNwfeVaNJlfz8RdCT5MJO
Cascada,0N0d3kjwdY2h7UVuTdJGfp
David Archuleta,2C9n4tQgNLhHPhSCmdsQnk
Shakira,0EmeFodog0BfCgMzAIvKQp
Estelle,5T0MSzX9RC5NA6gAI6irSn
The Killers,0C0XlULifJtAgn6ZNCW2eu
Vanessa Carlton,5ILrArfIV0tMURcHJN8Q07
Agnes,6SsTlCsuCYleNza6xGwynu
Taio Cruz,6MF9fzBmfXghAz953czmBC
Soulja Boy,6GMYJwaziB4ekv1Y6wCDWS
Lady Gaga,1HY2Jd0NmPuamShAr6KMms
The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT
Justin Timberlake,31TPClRtHm23RisEBtV3X7
Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
Akon,0z4gvV4rjIZ9wHck67ucSV
Sean Kingston,6S0dmVVn4udvppDhZIWxCr
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS
Fergie,3r17AfJCCUqC9Lf0OAc73G
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK
Wheatus,4mYFgEjpQT4IKOrjOUKyXu
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX
Katy Perry,6jJ0s89eD6GaHleKKya26X
Ja Rule,1J2VVASYAamtQ3Bt8wGgA6
Owl City,07QEuhtrNmmZ0zEcqE9SF6
Kanye West,5K4W6rqBFWDnAN6FQUkS6x
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai
Train,3FUY2gzHeIiaesXtOAdB7A
The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS
Sean Paul,3Isy6kedDrgPYoTS1dazA9
P!nk,1KCSPY1glIKqW2TotWuXOR
Flo Rida,0jnsk9HBra6NMjO2oANoPY
Adele,4dpARuHxo51G3z768sgnrY
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi
Joe,3zTOe1BtyTkwNvYZOxXktX
Maroon 5,04gDigrS5kc9YWfZHwBETP
Kesha,6LqNN22kT3074XbTVUrhzX
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
Kings of Leon,2qk9voo8llSGYcZ6xrBzKx
Adam Lambert,6prmLEyn4LfHlD9NnXWlf7
Pitbull,0TnOYISbd1XYRBk9myaseg
B2K,51d3rUlLuMh7EW09aMe7yj
Jamelia,3f5W9NEwkc1SAIPFuumcaf
50 Cent,3q7HBObVc0L8jNeTe5Gofh
Jordin Sparks,2AQjGvtT0pFYfxR3neFcvz
Jason Mraz,4phGZZrJZRo4ElhRtViYdl
Usher,23zg3TcAtWQy7J6upgbUnj
Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R
Plain White T's,1g1yxsNVPhMUl9GrMjEb2o
Daddy Yankee,4VMYDCV2IEDYJArk749S6m
Eminem,7dGJo4pcD2V6oG8kP0tJRR
Jagged Edge,7Aq8lpLMSt1Zxu56pe9bmp
Chingy,3s2wTjWxK8NOX09dmsvVOh
Robyn,6UE7nl9mha6s8z0wFQFIZ2
Madonna,6tbjWDEIzxoDsBA1FuhfPW
Nickelback,6deZN1bslXzeGvOLaLMOIF
Nelly,2gBjLmx6zQnFGQJCAQpRgw
Mario,20s0P9QLxGqKuCsGwFsp7w
Ciara,2NdeV5rLm47xAvogXrYhJX
Sugababes,7rZNSLWMjTbwdLNskFbzFf
Colbie Caillat,6aZyMrc4doVtZyKNilOmwu
Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM
Shontelle,4M6Z1wubeKtwPqbjJygTOc
Michael Bublé,1GxkXlMwML1oSg5eLPiAz3
The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ
Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP
Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn
