artist,artist_id,date
Andy Grammer,2oX42qP5ineK3hrhBECLmj,2019-06-09
Sigrid,4TrraAsitQKl821DQY42cZ,2019-06-09
James Morrison,3LpLGlgRS1IKPPwElnpW35,2019-06-09
L Devine,5dhyUSoGhz79WTzP39vKs4,2019-06-23
Sam Feldt,20gsENnposVs2I4rQ5kvrf,2019-07-14
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,2019-07-14
Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,2019-07-14
Kygo,23fqKkggKUBHNkbKtXEls4,2019-07-21
Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,2019-07-28
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2019-07-28
Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk,2019-07-28
Moloko,4aaBjq7VqqQvpSF69GglvO,2019-07-28
Plested,2nJYGgfTf2846LtVB3AES8,2019-07-28
Simply Red,1fa0cOhromAZdq2xRA4vv8,2019-07-28
Duffy,37NqXwtb6nIEqRt4EJSoIO,2019-07-28
Hard-FI,14Gi3Uph96lpNB3utkoVAD,2019-07-28
Conor Maynard,6mU8ucezzms5I2kNH6HNlu,2019-07-28
Talk Talk,7Fo8TAyGJr4VmhE68QamMf,2019-07-28
Elderbrook,2vf4pRsEY6LpL5tKmqWb64,2019-08-11
Tones and I,2NjfBq1NflQcKSeiDooVjY,2019-08-25
BTS,3Nrfpe0tUJi4K4DXYWgMUX,2019-05-12
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,2019-05-12
Khalid,6LuN9FCkKOj5PcnpouEgny,2019-05-12
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,2019-05-12
Kygo,23fqKkggKUBHNkbKtXEls4,2019-05-12
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2019-05-12
P!nk,1KCSPY1glIKqW2TotWuXOR,2019-05-12
SZA,7tYKF4w9nC0nq9CsPZTHyP,2019-05-12
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,2019-05-12
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2019-05-12
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,2019-05-12
Calvin Harris,7CajNmpbOovFoOoasH2HaY,2019-05-12
Avicii,1vCWHaC5f2uS3yhpwWbIA6,2019-05-12
Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,2019-05-12
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,2019-05-12
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,2019-05-12
ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,2019-05-12
Beyoncé,6vWDO969PvNqNYHIOW5v0m,2019-05-12
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2019-05-12
DJ Luian,64aJYyrXljOodnUG6jvhRD,2019-05-12
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2019-05-12
Post Malone,246dkjvS1zLTtiykXe5h60,2019-05-12
Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,2019-05-12
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,2019-05-12
Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,2019-05-12
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2019-05-12
Maluma,1r4hJ1h58CWwUQe3MxPuau,2019-05-12
Mabel,1MIVXf74SZHmTIp4V4paH4,2019-05-12
Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,2019-05-12
Gaullin,1aQwKFn00nswXRDUDipm0K,2019-05-12
Sia,5WUlDfRSoLAfcVSX1WnrxN,2019-05-12
Kina,4qIVPF0s71ZYW3qzhu5GkF,2019-05-12
Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2019-05-12
Marshmello,64KEffDW9EtZ1y2vBYgq8T,2019-05-12
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,2019-05-12
KIDDO,5pXe6yFchq1oyYK3rq2A8i,2019-05-12
TWICE,7n2Ycct7Beij7Dj7meI4X0,2019-05-12
Simon Samaeng,7n4yZSvg16XY22sxvZzKfw,2019-05-12
Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,2019-05-12
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,2019-05-12
Little Mix,3e7awlrlDSwF3iM0WBjGMp,2019-05-12
Sam Smith,2wY79sveU1sp5g7SokKOiI,2019-05-12
XO Cupid,1Fy4Vnoq3HspYLrgEs9VNc,2019-05-12
Aaron Smith,77qukKzmdI5BeMBR7WGUrN,2019-05-12
Becky G,4obzFoKoKRHIphyHzJ35G3,2019-05-12
Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,2019-05-12
Glowie,303SwmjLibkh8OJH5xxZOM,2019-05-12
Smith & Thell,1ZrBGJWLL8NiAjgNifCy90,2019-05-12
Lil Peep,2kCcBybjl3SAtIcwdWpUe3,2019-05-12
Justin Timberlake,31TPClRtHm23RisEBtV3X7,2019-05-12
MAX,1bqxdqvUtPWZri43cKHac8,2019-05-12
French Montana,6vXTefBL93Dj5IqAWq6OTv,2019-05-12
Bad Bunny,4q3ewBCX7sLwd24euuV69X,2019-05-12
Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,2019-05-12
Gesaffelstein,3hteYQFiMFbJY7wS0xDymP,2019-05-12
Halsey,26VFTg2z8YR0cCuwLzESi2,2019-05-12
Calboy,0HkcYmcjrBR3SCw9Ld5VZk,2019-05-12
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,2019-05-12
Lauv,5JZ7CnR6gTvEMKX4g70Amv,2019-05-12
Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,2019-05-12
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,2019-05-12
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2019-05-12
Anuel Aa,2R21vXR83lH98kGeO99Y66,2019-05-12
Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,2019-05-12
Guy Sebastian,5PjekOABtfU2Kwo0AHVmci,2019-05-12
Flipp Dinero,2HUwZ0kumzCSlhFcjFZfpp,2019-05-12
ChocQuibTown,6tkyhGe9hGI3Lcfo4gVh6Z,2019-05-12
Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,2019-05-12
Jon Z,5bWUlnPx9OYKsLiUJrhCA1,2019-05-12
21 Savage,1URnnhqYAYcrqrcwql10ft,2019-05-12
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,2019-05-12
Polo G,6AgTAQt8XS6jRWi4sX7w49,2019-05-12
Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,2019-05-12
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,2019-05-19
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2019-05-19
James Arthur,4IWBUUAFIplrNtaOHcJPRM,2019-05-19
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,2019-05-19
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2019-05-19
Sech,77ziqFxp5gaInVrF2lj4ht,2019-05-19
Logic,4xRYI6VqpkE3UwrDrAZL8L,2019-05-19
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,2019-05-26
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2019-06-02
Sigala,1IueXOQyABrMOprrzwQJWN,2019-06-02
Madeon,4pb4rqWSoGUgxm63xmJ8xc,2019-06-02
Herve Pagez,31JFnMfmvwzZGdEnXaKGek,2019-06-02
Frans,1y5T3Prq30eW5RkpaUWNOQ,2019-06-02
MEDUZA,0xRXCcSX89eobfrshSVdyu,2019-06-02
Russ,1z7b1Pr1rSlvWRzsW3HOrS,2019-06-02
Young Thug,50co4Is1HCEo8bhOyUWKpn,2019-06-02
Katy Perry,6jJ0s89eD6GaHleKKya26X,2019-06-09
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2019-06-16
Future,1RyvyyTE3xzB2ZywiAwp0i,2019-06-16
Hogland,5s21IKPvmxRf9WxpO8H5UB,2019-06-16
Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,2019-06-16
Drake,3TVXtAsR1Inumwj472S9r4,2019-06-23
Ashley O,14scxEoUN7Dcx1m4EQ7oHe,2019-06-30
Y2K,6USMTwO0MNDnKte5a5h0xx,2019-07-07
Wiley,7k9T7lZlHjRAM1bb0r9Rm3,2019-07-07
Ilkay Sencan,5deLgmgAEgy8UHOfJ9Dj8w,2019-07-07
Maître Gims,0GOx72r5AAEKRGQFn3xqXK,2019-07-07
Lizzo,56oDRnqbIiwx4mymNEv7dS,2019-07-07
DJ Snake,540vIaP2JwjQb9dm3aArA4,2019-07-07
DaVido,0Y3agQaa6g2r0YmHPOO9rh,2019-07-28
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,2019-07-28
Dayvi,2TWBei99x2tV70bdYbWdAf,2019-08-04
Rick Ross,1sBkRIssrMs1AbVkOJbc7a,2019-08-04
Ruel,5xkAtLTf309LAGZTbvULBn,2019-08-11
Blue Ivy,3XV0lFzNs8BCTwhJTcMiBr,2019-08-11
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,2019-08-11
Normani,2cWZOOzeOm4WmBJRnD5R7I,2019-08-18
Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,2019-08-18
BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,2019-08-25
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,2019-08-25
Dvicio,2KxjMGXFgX1vt9grpbD3xI,2019-05-12
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2019-05-12
Lola Indigo,3bvfu2KAve4lPHrhEFDZna,2019-05-12
Leiva,5Hsv8dUHHOdnn72q4XIVz7,2019-05-12
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,2019-05-12
